              Z              N              E                F             G          J
         -0.006038        0.001133       -0.000122       0.000122      0.000122   0.000122  
         -0.004128        0.000458        0.002350       0.002350      0.002350   0.002350  
         -0.001239        0.000003        0.004331       0.004331      0.004331   0.004331  
          0.001557       -0.000202        0.005144       0.005144      0.005144   0.005144  
          0.003326       -0.000256        0.004559       0.004559      0.004559   0.004559  
          0.003673       -0.000343        0.002874       0.002874      0.002874   0.002874  
          0.002824       -0.000627        0.000740       0.000740      0.000740   0.000740  
          0.001384       -0.001177       -0.001161       0.001161      0.001161   0.001161  
         -0.000064       -0.001924       -0.002411       0.002411      0.002411   0.002411  
         -0.001249       -0.002689       -0.002961       0.002961      0.002961   0.002961  
         -0.002224       -0.003248       -0.003034       0.003034      0.003034   0.003034  
         -0.003133       -0.003410       -0.002898       0.002898      0.002898   0.002898  
         -0.003927       -0.003093       -0.002675       0.002675      0.002675   0.002675  
         -0.004269       -0.002365       -0.002283       0.002283      0.002283   0.002283  
         -0.003707       -0.001440       -0.001553       0.001553      0.001553   0.001553  
         -0.002013       -0.000607       -0.000419       0.000419      0.000419   0.000419  
          0.000542       -0.000100        0.000958       0.000958      0.000958   0.000958  
          0.003183        0.000020        0.002205       0.002205      0.002205   0.002205  
          0.004939       -0.000078        0.002913       0.002913      0.002913   0.002913  
          0.005138       -0.000075        0.002866       0.002866      0.002866   0.002866  
          0.003805        0.000333        0.002185       0.002185      0.002185   0.002185  
          0.001736        0.001253        0.001299       0.001299      0.001299   0.001299  
          0.000152        0.002509        0.000728       0.000728      0.000728   0.000728  
          0.000090        0.003694        0.000795       0.000795      0.000795   0.000795  
